Column1;city;time;announcment_num;floor;area;room_count;district;description;discount;price
0;Душанбе;Сегодня 17:50;7765753;2;30 м?;1;Рудаки;Салом алекм Хонаи Фуруши Срочно ??? Дар Нохияи Рудаки (Ленский район);обмен,торг;94000
1;Душанбе;Сегодня 17:50;7577854;6;135 м?;4;И.Сомони,рынокМе?ргон;4-комн. квартира, 6 этаж, 135 м?, И.Сомони рынок Ме?ргон;торг;1400000
2;Вахдат;Сегодня 17:54;4113356;7;53 м?;1;Вахдат;продаётся однокомнатная квартира с возможностью переделка на двухкомнатная квартира в городе Вахдат дом ЁКУТ 2000. квартира без ремонта просьба писать на имо так как сам нахожусь в Москве ЦЕНА без торга без торга;;205000
3;Вахдат;Сегодня 17:49;7752689;8;57 м?;2;вахдат;продаётся однокомнатная квартира с возможностью переделка на двухкомнатная квартира в городе Вахдат дом ЁКУТ 2000. квартира без ремонта просьба писать на имо так как сам нахожусь в Москве ЦЕНА без торга без торга;;205000
4;Душанбе;Сегодня 17:48;7573513;1;80 м?;3;Сино;Хонаи фуруши 3 хонага да нохияи сино . Кучаи каленина 1/4 . Дар наздаш садик , мактаб , 2 супермаркети калон чойгир аст . Хама шароит дорад. Об свет без проблем .;400000c;380000
5;Душанбе;Сегодня 17:42;7382904;7;95 м?;2;Книжныймир,Садбарг;Хонаи фуруши дар райони Садбарг, олами китоб. Аз бари доми олами китоб. Хона дар 3 этаж расидаги. Анчоми кор охири соли 2023. 2 хонага, 95 кв.м. Оинахош даруни двора нигох мекна;;588000
6;Вахдат;Сегодня 17:41;7932037;4;48 м?;2;Ва?дат;Хона 48.кв 4 ум ошёна ру ба руй ?амоми Гагаринай наздики болниса бозорча мактаб садик магазин?ои калон аз ду тарафи дом балкон дора хона?о калон калонай дар?ои ?имат дора ночаспонда фа?ат обой ламинат мекуни тамом илтимос бе?уда занг назанен харидор боши аз пеш муомила мекнем ИншоАлло?;обмен,торг;205000
7;Рогун;Сегодня 17:40;7809254;3;125 м?;3;Рогун;3 комнатная квартира с имуществом 4 этаж дом 36 ш. Рогун;торг;440000
8;Душанбе;Сегодня 17:37;7925241;2;44 м?;2;гипрозем;гипрозем.техпаспорт.канализация.2этаж;торг;280000
9;Худжанд;Сегодня 17:35;7551808;Цокольный;48 м?;1;18мкр;Срочно продаётся однокомнатная квартира в 18мкр .Цокольный(Подвал) Бехуда занг назанитон бисер арзон намешад;130000c;120000
10;Душанбе;Сегодня 17:33;7837932;1;60 м?;1;Шохмансур9-км;дар савдо квартираи як хонага переделка духонагаи чудо чудо кардагияй бо ремонташ, адрес 9-км шохмансур.;торг;360000
11;Душанбе;Сегодня 17:31;7739543;2;40 м?;2;ВодонососпаркАйни;2 комнатная квартира 2 этаж 4 этажний кирпичный дом проспект Рудаки водоносос с ремонтом без посредников;;335000
12;Душанбе;Сегодня 17:30;7795229;12;98 м?;3;Ашан;??Продается совершенно новая 3-комн. квартира на 12 этаже в 16 этажном доме. ;;1170000
13;Душанбе;Сегодня 17:27;7932018;16;92 м?;3;Голубойэкран;Продается 3 комнатная квартира, общей площадью 92 м2 в строящемся жилом комплексе. В почти готовой 16-и этажной новостройке на 16-ом этаже (идут фасадные работы). В доме имеется 2 высокоскоростных лифта, домофон, шлагбаум, парковка, детские и спортивные площадки, беседки, камеры наружного наблюдения по периметру. Первые этажи отведены под магазины, салоны красоты, аптеки, торговые центры. Вся инфраструктура в шаговой доступности. Ориентир: голубой экран, танк.;торг;539000
14;Душанбе;Сегодня 17:25;7906866;4;37 м?;1;н,Сино;Панелни дом рубаруи чалчам 4 ум ошена;;290000
15;Душанбе;Сегодня 17:24;7932004;14;67 м?;1;Центр,Овир;Продается 1 комнатная квартира в жилом комплексе «БАХТ». В почти готовой 16-и этажной новостройке на 14-ом этаже (идут фасадные работы). Общей площадью 67,6 м2, планировка позволяет переделать ее в 2-х комнатную квартиру. Окна квартиры смотрят на главную дорогу. В доме будут установлены 2 высокоскоростных лифта, домофон, шлагбаум, паркинг, детские и спортивные площадки, беседки, первые этажи отведены под магазины, салоны красоты…Инфраструктура развита – в шаговой доступности школа, детский сад, несколько парков и скверов. Ориентир: центральный ОВИР, напротив ресторана «Султанбей».;торг;501000
16;Гулистон (Кайраккум);Сегодня 17:23;7931981;2;35 м?;1;(Гулистон)Кайрокум;Срочно придётся 1 компактная квартира сделана 2 комнатной в центре города  на 2 этаже без ремонта возле Медицинского колледжа  ориентир школа 14 Амонатбанк;торг;160000
17;Душанбе;Сегодня 17:22;7913865;7;42 м?;2;Профсоюз;2 хонагии фуруши дар 7 ошиена 42 квадрат дар прафсоюз хона бо таьмир ва чизхояш фурухта мешавад мактаб дар назди хона Техпаспорт ва отопления дорад тирезахо рохи калонро нигох мекунад;;460000
18;Душанбе;Сегодня 17:22;7808327;5;93 м?;3;Гипрозем;3 хонагии фурушии калон дар 5 ошиена 93 квадрат хонахо чудо ва шикатураш таер стяшкаи пол дорад туалет ванна чудо дар назди рох ру ба руи мактаби 92 ва бозори Сомон дар шахраки Гипрозем;;610000
19;Душанбе;Сегодня 17:22;7774522;3;93 м?;2;ватан;Продаётся большая 2 комнатная квартира на 3 этаже 93 квадратов в центре города за Ватаном  с стяшкой пола и под обои 3 окна 2 окна смотрят на главную дорогу один во двор туалет ванна разделный окна панорама 2 лифта;;920000
20;Душанбе;Сегодня 17:22;7855941;17;93 м?;3;домпечать;Продается 3 комнатная студия в хорошем новостроенном доме в центре города на 17 этаже ;;700000
21;Душанбе;Сегодня 17:21;7777880;9;83 м?;2;46мкр;2 ХОНАГИИ ФУРУШИИ КАЛОН ДАР 9 ОШИЕНА 83 КВАДРАТ 2 БАЛКОН КАРИДОРИ КАЛОН ТУАЛЕТ ВАННА ЧУДО КУХНЯИ КАЛОН АТАПЛЕНИЕ ВА ТЕХПАСПОРТ ДОРАД 2 ЛИФТ КОР МЕКУНАД ТИРЕЗАХО ТАРАФИ РОХ ВА ДАРЙО НИГОХ МЕКУНАД ДАР 46 МИКРОРАЙОН;;670000
22;Душанбе;Сегодня 17:18;7386041;15;68 м?;2;Цирк;Продается большая 2 комнатная квартира на 15 этаже дом 16 этажный 68 квадратов у главной дороги в Цирке дом почти готов идут фасадные работи хорошый застройщик 3 окна смотрят на главную дорогу;;370000
23;Душанбе;Сегодня 17:18;7494439;11;50 м?;1;Славянскийуниверситет;Продается большая 1 комнатная квартира на 11 этаже в центре города за Славянском университете 50 квадратов дом 14 этажный идут фасадные работы пo ул Пушкина;;370000
24;Душанбе;Сегодня 17:17;6968231;12;105 м?;3;Садбарг;Продается просторная ;;690000
25;Душанбе;Сегодня 17:17;7879970;7;96 м?;3;политехническийуниверситет;Продается большая 3 комнатная студия с новым хорошим ремонтом и со всеми удобствами 96 квадратов в центре города есть Техпаспорт и ;;1200000
26;Душанбе;Сегодня 17:17;7458348;14;70 м?;2;Ватан,хукуматШохмансур;Продается большая 2 комнатная квартира 70 квадратов у главной дороги на 14  этаже дом готов можно начать ремонт на против хукумата Шохмансур за Ватана ;;510000
27;Душанбе;Сегодня 17:17;7514357;13;71 м?;2;Ватан;Продается 2 комнатная квартира на 13 этаже в центре города с новым евро ремонтом 3 окна панорама смотрят на главную дорогу 71 квадратов за Ватаном на против  Хукумат Шохмансура рядом Пайкар ;;660000
28;Душанбе;Сегодня 17:17;7654577;4;63 м?;2;Ватан;Продаётся 1 комнатная квартира на 4 этаже 63 квадратов в центре города в готовом доме работает 2 лифта;;530000
29;Душанбе;Сегодня 17:16;7689229;10;48 м?;1;Ватан;Хонаи фуруши дар 10 ошиена 48 квадрат  дом таер одамхо зиндаги доранд ;;390000
30;Душанбе;Сегодня 17:15;7690347;7;110 м?;4;61мкр;4 хонагии  фуруши дар 7 ошиена 110 квадрат бо таьмири миенаи хуб дар сари рохи калон дар 61 микрорайон ;;975000
31;Душанбе;Сегодня 17:10;7931924;7;41 м?;1;Зарнисор;Срочна блоки 2 лаби  рах;торг;165000
32;Душанбе;Сегодня 17:06;5901663;17;47 м?;1;ОриентирОлимпийскийКомитет;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 17-этаже ;;279980
33;Худжанд;Сегодня 16:56;6933327;Цокольный;72 м?;2;19мкр;дом в хорошем месте зади пончик орзу  около дороги с хорошим дорогим ремонтом полная тепла изаляция пол дерево  окна большие как первые этаж.   Документы 100/готовы.срочно срочно;торг;370000
34;Душанбе;Сегодня 16:55;7704666;9;105 м?;3;Сино,Профсоюз;Звоните, найдём и другие квадратуры на других этажах  в других местах города  которые Вас интересуют.;обмен,торг;663000
35;Гулистон (Кайраккум);Сегодня 16:54;7527302;2;44 м?;2;Гулистон;Д?сти Хал??о 21/33;торг;250000
36;Душанбе;Сегодня 16:53;7894048;10;67 м?;1;102МКР;Продёстя шикарная однокомнатная квартира в почти готовом доме.;торг;305000
37;Бохтар (Курган-Тюбе);Сегодня 16:47;7691131;4;92 м?;3;ДружбаНародов;Срочно.3х-ком 4этаж домм 5 этажа ремонти миёна дар назди гимназияй аминчон,куч.Дусти Халкхо мошин кабул мекунем.;торг;350000
38;Душанбе;Сегодня 16:42;7931809;3;35 м?;1;шохмансур;хона дар чои бехтарин павароти аеропорт срочна;;260000
39;Душанбе;Сегодня 16:26;7901578;5;59 м?;1;центр1роддом;срочно! дом сдали..отличный проект..в центре напротив 1 роддома;;550000
40;Душанбе;Сегодня 16:23;7931687;2;55 м?;2;11;срочно 104 мкр;торг;430000
41;Душанбе;Сегодня 16:21;4925684;5;165 м?;5;Центр;Огромная квартира в самом центре города, напротив Аптеки №5. В квартире есть большая гостиная (35 м?), 4 спальных комнат, большая ванная комната, много балконов и мест для хранения вещей. В доме без перебоев работают электричество, холодная вода и отопление в сезон.;;1800000
42;Душанбе;Сегодня 16:19;7931650;8;89 м?;3;92мкр;СРОЧНО.Большая 3-х ком квартира от собственника.После ремонта никто не жил.Рядом посольство Германии и Афганистана.;;600000
43;Бохтар (Курган-Тюбе);Сегодня 16:16;7258602;5;53 м?;3;Кайхоннавардон;Хона ягон камбуди надора! Дакументош коидавий, Ай Душанбе 2 хонага боша, алишам мешава, ягонсум куш мекнем. ;торг;260000
44;Душанбе;Сегодня 16:15;7699823;7;42 м?;2;Шохмансур;2-комн. квартира, 7 этаж, 42 м?, Шохмансур;обмен,торг;38000
45;Душанбе;Сегодня 16:12;7511205;15;132 м?;3;Шохмансур;Продаётся 3-х комнатная квартира в почти готовой новостройке премиум класс, на восточной стороне города Душанбе. Общей площадью 132 м2 в 18 этажном доме на 15 – ом этаже. В квартире имеется болшой холл (24,13 м2), три комнаты (23,69 м2, 17,10 м2, 22,32 м2), кухня (27,35 м2), раздельный санузел (2,17 м2, 3,63 м2). Планировка идеальная. Есть возможность переделать в 4-кмнатную или две 2-х комнатные квартиры.  Окна панорамные, выходят во двор.  От застройщика – электроммонтаж межкомнатные перегородки, окна и качественная входная дверь. Преимущества дома – проведено централизованное отопление, 3 лифта, два подъезда и подземный паркинг. ;торг;737880
46;Душанбе;Сегодня 16:04;7863201;17;40 м?;1;Сино;махалаи Зарафшон инфекционий больница 17 этаж блоки 16 фавран фурухта мешавад 40 квадрат лаби рох тамоми намуди наклиёт хаст таги дом магазини калони Стройматериал мархамат;торг;107000
47;Рудаки;Сегодня 16:04;7010141;4;47 м?;1;Рудаки;Хона дар тарафи нохияи Рудаки тарафи бозори нав Давлати Зафар карор дорад, сари рохи калон, 1 хонага мебошад, аммо 2 хонага кадаги, туалет ванна отдельно, дом 6 этажа хона дар 4 этаж карор дорад, об, свет 24 соат, дом инчунин лифт дорад. Дар наздикиаш парк, садик, мактаб, бозор хаст, канализация шахри мебошад. Стяжка, шпаклевать ва паталокш гипсакардон кати задагияй, кафель барои вана туалет харидем, ремонт рафтест.;торг;230000
48;Вахдат;Сегодня 15:55;7931494;4;65 м?;2;Ш.Вахдат;Срочный Продаются Хона да кучаи Салимзода пеши баняи Гагарин;торг;300000
49;Душанбе;Сегодня 15:55;7536484;8;103 м?;1;Центр,роддом№1;СРОЧНО!!!;;805000
50;Душанбе;Сегодня 15:53;6969560;8;73 м?;2;Центр,Домпечать,ИльПатио;Продаётся абсолютно новая  и стильная 2х комн.кв в самом центре в элитном доме!;;1138000
51;Душанбе;Сегодня 15:52;7339444;6;63 м?;2;Водонасосная;СРОЧНО!!! Продается 2-комн квартира на 6 этаже в 11 этажном доме ;;650000
52;Душанбе;Сегодня 15:52;7855747;8;147 м?;3;82мкр,залеснойсказкой;??ЛЮКСОВАЯ КВАРТИРА??;торг;2210000
53;Душанбе;Сегодня 15:51;7597736;9;43 м?;1;НапротивАльфемо,Домпечати;??СРОЧНО ПРОДАЁМ 1-КОМН. ;;364000
54;Душанбе;Сегодня 15:51;7057797;12;72 м?;2;Шохмансур;Срочно!!! Без обмена!;торг;530600
55;Душанбе;Сегодня 15:44;7931514;16;50 м?;2;Шохмансур;Продаётся квартира ЛЮКС в центре. свет, лифт,вода, тёплый пол, wi-fi, свежий ремонт и транспорт без проблем. под квартирой находится кафе Moose, детская площадка, новый Дефакто.;;780000
56;Душанбе;Сегодня 15:43;6085848;12;64 м?;3;91мкр;3 комнат 64 квм 12 этаж дар 91 мкраео бо римонти нав оби гарм дорад срочна срочна срочна фуруши  наздики паликленикаи 10;торг;590000
57;Душанбе;Сегодня 15:40;7548546;2;60 м?;2;91мкр;2ком 2эт 4этажни понелний дом средний ремонт чистично с обстановкой 91мкр;;595000
58;Душанбе;Сегодня 15:38;7628028;5;103 м?;3;Шохмансур;2ком пер 3ком Ориентир Гостиница Атлас дом (без лифта);торг;750000
59;Душанбе;Сегодня 15:36;7931435;5;48 м?;1;Сино,Зарнисор;СРОЧНО/ СРОЧНО/ СРОЧНО;торг;442000
60;Душанбе;Сегодня 15:32;6732449;11;58 м?;1;Испечак2;1ком 11эт 14этажни  новостройни дом евроремонт 58квм с техпаспортом у дороги  Испечак2;торг;400000
61;Душанбе;Сегодня 15:31;5003962;3;68 м?;2;68;2ком 3эт 15этажни новостройни дом евро ремонт  68квм  у дороги  с техпаспортом  с обстоновкой  Испечак 2;торг;600000
62;Душанбе;Сегодня 15:30;6928205;4;68 м?;3;102мкр;3ком 4эт 5этажни понелний дом средний ремонт рядом  Иниститут Языков 102мкр;торг;535000
63;Душанбе;Сегодня 15:29;6970409;10;68 м?;1;ОриентирКлиникаМадад;Продаётся Элитная Квартира в Элитном Жилом Комплексе, на 10-этаже;;461380
64;Душанбе;Сегодня 15:29;5987458;14;90 м?;2;82мкр;2ком 14эт  15этажни   новостройни дом отопление  лифт  вода  постояно  90квм у дороги  городская отопление  82мкр;;650000
65;Душанбе;Сегодня 15:29;7504282;3;30 м?;1;БО?АМАИЧИЗУЧОРААШ300000МУШУДАГИШ;хонаи фуруши назди 201 кум дивизия дар 3 юм ошёна откритные лесница таьмираш замонави мактаб богчаи кудакона дар наздикиаш лаби рохи калон.Желательна ягон одами квартирант шинон боша точкаш зурай любой ваенный мешина.;торг;260000
66;Душанбе;Сегодня 15:28;6922002;4;55 м?;2;Мардон;2ком 4эт 4этажни кирпичнй дом хороший ремонт разделни комнати  у дорогй  большой болкон   Мардон;торг;435000
67;Душанбе;Сегодня 15:28;7855986;3;70 м?;3;91мкр;3ком 3эт 4этажни кирпични дом хороший ремонт с обстоновкой у дороги на против ресторан Арбат  91мкр;;750000
68;Душанбе;Сегодня 15:28;7798164;10;50 м?;2;Фирдавси;2 хонагаи фуруши дар доми 17 этажаи таёр дар 10 ум этаж дар лаби дарёи Душанбинка тирезахо лаби дарёра нигох мекунад хонаи байн ремонтош нав 100 фоиза кардаги то решёткахоша часпондаги бино аз 2 даромадгох иборат аст хар даррмадгох 2 лифт доранд дар пеши хона 2 мактаб богча бехтарин чой барои зиндаги мебошад нархаш сиву нух хазор доллар  илтимос танхо харидорони аник занг зананд;торг;490000
69;Душанбе;Сегодня 15:27;6983590;4;40 м?;2;1йСоветский;2ком 4эт 4этажни кирпични  дом средний ремонт чистично с обстановкой на против базарчик  1й советский  Ресторан Клеапатра;370000c;295000
70;Душанбе;Сегодня 15:23;7931143;3;41 м?;2;92мкр;1 комн 2 хонага кардаги;торг;449000
71;Душанбе;Сегодня 15:23;7931382;6;92 м?;4;Сино;Хонай фуруши фавран хона дар ваени гарадок чоигир мебошад доми 7 ошёна дар 6 ош хона пад абой кардария термекс нав 120л джакузи симистил нав бе?арзи абой паркет хамай чизош хаст разветкахой вико  хулоса ягон варянти хонай арзонтар боша 1 ё 2 хурага;обмен,торг;500000
72;Душанбе;Сегодня 15:23;6987497;1;35 м?;1;92мкр;1ком 1эт 4этажни  кирпичнидом евроремонт у дороги  92мкр  за паспор стол;;400000
73;Душанбе;Сегодня 15:22;7749770;11;68 м?;2;Профсоюз;2ком 11эт 16этажни дом у дороги лифт вода постоянно с  техпаспортом 68квм  рядом Филармония  Прафсаюз;;430000
74;Душанбе;Сегодня 15:21;7296073;4;55 м?;2;92мкргулдаста;2ком 4эт 10этажни новостройни дом  у дороги 55квм  готовы  дом с техпаспортом рядом ресторан гулдаста 92мкр;;528000
75;Душанбе;Сегодня 15:20;7893348;11;59 м?;1;ИсмоилиСомони;Дом напротив Роддом 2.;;355000
76;Рудаки;Сегодня 15:13;7931310;3;58 м?;2;Рудаки;ака;;260000
77;Куляб;Сегодня 15:09;7931207;2;45 м?;2;кулоб;2 комната 2этаж;торг;210000
78;Душанбе;Сегодня 15:09;7449806;13;67 м?;2;Мардон;Срочно срочно, звонить конкретным, торг небольшой;обмен,торг;345000
79;Душанбе;Сегодня 15:05;6832389;17;122 м?;4;ДомПечать,Пайкар;Бенихоят чои хуб барои зиндагони хонаи нав ТЕХПАСПОРТ дорад 2санузел.алиш намешавад.дом 19 этажа доми хочи Махмуд 1 кладовкаи калон бо хама чизош.ЯКСАДУ БИСТ ХАЗОР ДОЛАР ХОНДА ЗАНГ ЗАНЕД.;;1560000
80;Душанбе;Сегодня 14:59;7850900;7;64 м?;1;82мкрНемецкоепосольство;Новостройка 82 мкр;обмен,торг;432000
81;Бохтар (Курган-Тюбе);Сегодня 14:58;7931252;4;52 м?;3;Бохтар;Срочно квартира фуруши шахри бохтар харидори аник бошад бо арзон меша;торг;270000
82;Пенджикент;Сегодня 14:55;6940100;8;100 м?;4;Хиёбонирудаки;хонаи фуруши;;315000
83;Вахдат;Сегодня 14:53;7808531;7;48 м?;2;Вахдат;Новостройка в центре города вахдат??ул Хуросон  возле штраф площадка ??;торг;180000
84;Душанбе;Сегодня 14:50;7754827;10;71 м?;1;ПоворотАэропорт;1 комнатная квартира Поворот Аэропорт ;;729000
85;Душанбе;Сегодня 14:50;7141766;12;185 м?;4;Караболо;4 комнатная квартира район Караболо ;;2230000
86;Душанбе;Сегодня 14:49;7139728;9;357 м?;6;82мкр;7 комнатная квартира 82 мкр ;;4160000
87;Душанбе;Сегодня 14:49;7032111;2;110 м?;3;ПоворотАэропорт;3 комнатная квартира район Поворот Аэропорт;;1300000
88;Душанбе;Сегодня 14:49;7754817;10;94 м?;2;ПоворотАэропорт;2 комнатная квартира Поворот Аэропорт ;;1184000
89;Душанбе;Сегодня 14:48;7877548;6;150 м?;3;ВефаЦентр;3 комнатная квартира район Вефа центр;;2520000
90;Душанбе;Сегодня 14:48;7698329;14;178 м?;3;Центрул.Пушкина;3 комнатная квартира район ул. Пушкина ;;2750000
91;Душанбе;Сегодня 14:47;7057936;10;110 м?;3;Аэропорт;3-х комнатная квартира с общей площадью 110 квадратных метров.;;600000
92;Душанбе;Сегодня 14:40;7710358;3;65 м?;2;И.Сомони;Хона бо тамоми шароити зист ру ба руи рудаки плаза проспект рудаки;торг;585000
93;Душанбе;Сегодня 14:39;7931138;1;70 м?;3;Сино;Хонаи фуруши иборат аз 3 хучра дар доми 4 этажа дар 1 ум этаж карор дорад хона дорои шароити аьло дошта дар дохилаш термекс, кондиционер, кухоный гарнитур ремонти бехтарин нав гардонида шудааст. дар Зимистон батареяш кор мекунад  подвалхам дорад , факат медарои зиндаги мекни . Дар наздикии хона макбат , магазин , садик , ва хама намуди хатсайрхои автомобили низ хаст. нархи хона бо нархи бозори савдо карда мешавад . харидори конкретный бошад арзон када медихем . ;торг;689000
94;Турсунзаде;Сегодня 14:34;7931108;5;72 м?;2;3микрорайон;Срочно не дорогой 2 ком квартира с евро ремонт кухиный гарнитур пол ламинат заходи и живи люкс;;228000
95;Душанбе;Сегодня 14:32;7360321;13;168 м?;6;ОриентирШкола65;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 13 этаже,;;1229760
96;Душанбе;Сегодня 14:30;7360317;14;65 м?;2;ОриентирМинобразование;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 14-этаж;;507000
97;Душанбе;Сегодня 14:29;7858550;12;62 м?;2;ЗеленыйБозор;"Новостройка ""ЧДММ Вантакс Сохтмон"".";;250000
98;Душанбе;Сегодня 14:26;7302382;6;90 м?;4;Испечак2;??????СРОЧНО! СРОЧНО! СРОЧНО! ??????;торг;700000
99;Душанбе;Сегодня 14:23;7873598;4;63 м?;1;Центр,ДомПечати,Пайкар;Продаю большую квартиру улучшенной планировки,в районе Дом Печати, рядом с новым Пайкар. Кухня не глухая есть ОКНА,в доме есть отопление, три скоростных лифта. Дом сдан ТЕХПАСПОРТ есть!;торг;665000
100;Душанбе;Сегодня 14:22;6881529;4;89 м?;3;112мкр;Новый ремонт ;торг;858500
101;Душанбе;Сегодня 14:22;6881544;5;148 м?;4;104мкр;Новый ремонт ;торг;1320000
102;Душанбе;Сегодня 14:19;7360258;12;186 м?;6;ОриентирбывшийГАИДушанбе;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 12 этаже,;;1383840
103;Душанбе;Сегодня 14:18;7638226;3;106 м?;3;И.Сомони;Продаётся 3 комнатная квартира 3 этаж И.Сомони арентир мебельный салон Ladin сзади Ашан дом находится у дороги;обмен,торг;658000
104;Душанбе;Сегодня 14:18;7900362;10;60 м?;1;И.Сомони;Продаётся 1 комнатная квартира 10 этаж И.Сомони арентир мебельный салон Ladin сзади Ашан дом находится у дороги дом на стадии 1 этажа;обмен,торг;320000
105;Душанбе;Сегодня 14:17;7638588;10;66 м?;2;И.Сомони;Продаётся 2 комнатная квартира в 10 этаже И.Сомони арентир мебельный салон Ladin сзади Ашан дом находится у дороги дом на стадии 1 этажа;обмен,торг;350000
106;Душанбе;Сегодня 14:15;7738986;12;139 м?;4;;срочно ,срочно хонаи фуруши  ру ба руи ОВИР дар доми тайер , 12 этаж ,139мвк дутарафа тереза дорад , шкатур дорад ,;;820000
107;Душанбе;Сегодня 14:14;7360255;18;228 м?;5;ОриентирВодоканал;Продаётся Элитная Квартира в Элитном Жилом Комплексе, на 18-этаже;;1573200
108;Худжанд;Сегодня 14:12;7719829;3;52 м?;2;18мкр;Хонаи фуруши 2хонаги дар махаллаи 18 навастройка пеши Чума бозор дар  3юм ва 1кум ошёна мебошад бо таьмири нав мебошад сари рох.;торг;460000
109;Душанбе;Сегодня 14:11;7512442;1;42 м?;2;Профсоюз;открытые лестницы в провсоюзе двух комнатная квартира на первом этаже со всеми условиями, ремонт свежий, мебель новая, техника также новая (телевизор, стиральная машина, холодильник, 2 термекса), заходи и живи. есть пристройка с зади, можно попасть с балкона. ориентир рядом с гимназией номер 1.;торг;440000
110;Душанбе;Сегодня 14:11;7360252;14;120 м?;5;ОриентирМинобразование;Продаётся Элитная Квартира в Элитном Жилом Комплексе, на 14-этаже;;936000
111;Душанбе;Сегодня 14:11;7780393;8;61 м?;1;И.СомониСтадионСпартак;Аз 1 хонага то 4 хонага ;торг;390000
112;Душанбе;Сегодня 14:08;7921397;10;45 м?;1;"Стадион""Спартак""";Квартира в элитном доме у дороги, центр города. Дом готов, можно делать ремонт.Дом одноподъездный, на площдке три лифта. Напротив дома зелёный парк для прогулок и развлечений.Транспорт в любую сторону города.;;400000
113;Душанбе;Сегодня 14:06;7930949;17;112 м?;3;Шохмансур;Квартира в центре города Дом печать;;975000
114;Душанбе;Сегодня 14:06;6706172;7;120 м?;4;;Дорогие покупатели, продаётся уютнейшая квартира в 112 микрорайоне, со всеми удобствами для жилья с семьёй. Квартира состоит из 4-х комнат.;торг;889000
115;Душанбе;Сегодня 14:05;7580503;1;42 м?;2;Сино33мкр;2х комнатная квартира переделанная в 3х комнанатную на 1ом этаже 4х этажного монолитного дома,с 2- мя подвалами,33 мкр возле базарчика.;торг;490000
116;Душанбе;Сегодня 14:03;7905588;6;84 м?;2;Шохмансур;хона 100% таёр бо ?ама шароити будаш барои зиндаги омода мебошад.;обмен,торг;768500
117;Душанбе;Сегодня 14:02;7784716;11;65 м?;1;зелёный;срочно1комн  квартиру общей площадью  .65.31кв. м  в 11этаж  дом сам 12 ти этажный   новостройке. Квартира коробка. Дом строиться уже на 8 этаже Удобное расположение города, позволит вам как новому владельцу использовать все преимущества развитой инфраструктуры. В шаговой доступности магазины, супермаркеты , ??поликлиники, ??учебные заведения, остановки общественного транспорта на все направления.   звоните прямо сейчас и приходите на посмотр ориентир зелёный базар волна;торг;357000
118;Душанбе;Сегодня 14:02;7145895;9;52 м?;1;исмоилисомони;срочно1комн  квартиру общей площадью  .52кв. м  на 9этажев новостройке. Квартира коробка. Удобное расположение города, позволит вам как новому владельцу использовать все преимущества развитой инфраструктуры. В шаговой доступности магазины, супермаркеты , ??поликлиники, ??учебные заведения, остановки общественного транспорта на все направления.    звоните прямо сейчас и приходите на посмотр ориентир гранд отль;торг;450000
119;Душанбе;Сегодня 14:01;7360249;13;88 м?;3;ОриентирШкола№65;Продаётся Элитная Квартира в Элитном Жилом Комплексе, на 13-этаже;;697840
120;Худжанд;Сегодня 14:01;7403727;2;42 м?;1;8мкр;Продаётся 1х комнатная квартира в  8 мкр-не на 5 этаже в 6 этажном доме (новостройка, без лифта, ориентир Мактаби болаёкат);торг;174000
121;Душанбе;Сегодня 14:00;7777101;5;77 м?;2;Сино102мкр;Продаю 2комкв 5эт 12этДом.102мкр.у дороги.;торг;443000
122;Худжанд;Сегодня 13:59;7673774;5;42 м?;1;8мкр;продаётся 1 комнатная квартира в 8 мкр-не на 5 этаже в 6 этажном доме (новостройка без лифта);торг;151000
123;Худжанд;Сегодня 13:59;7403635;4;70 м?;2;8мкр;Продаётся 2х комнатная квартира в  8 мкр-не на 4 этаже в 6 этажном доме (новостройка, ориентир Мактаби болаёкат);торг;263000
124;Худжанд;Сегодня 13:59;7673811;5;70 м?;2;8мкр;Продаётся 2х комнатная квартира в 8 мкр-не на 5 этаже (новостройка, без лифта);;252000
125;Худжанд;Сегодня 13:59;7403877;4;90 м?;3;8мкр;Продаётся 3х комнатная квартира в  8 мкр-не на 4 этаже в 6 этажном доме (новостройка, без лифта, ориентир Мактаби болаёкат);торг;337000
126;Душанбе;Сегодня 13:57;7613816;16;56 м?;1;Султоникабир;Срочно 1 комн квартира 55.88кв.м на 16этаже дом сам. 16ти этажный орентир Бади мости султони  кабир сохили 22;;257000
127;Душанбе;Сегодня 13:57;7677550;4;209 м?;4;ОриентиртеатрОперыибалета;Салом Бародаро Илтимос Бехуда Занг Назанен ;торг;3200000
128;Душанбе;Сегодня 13:56;7858933;5;63 м?;1;султоникабир;Срочно 1 комн квартира 63.44кв.м на 5этаже дом сам. 16ти этажный орентир Бади мости султони  кабир сохили 22;;372000
129;Душанбе;Сегодня 13:56;7784083;11;51 м?;1;Зелёныйбазар;срочно1комн  квартиру общей площадью  .51кв. м  в 11этаж  дом сам 12 ти этажный   новостройке. Квартира коробка. Дом строиться уже на 8 этаже Удобное расположение города, позволит вам как новому владельцу использовать все преимущества развитой инфраструктуры. В шаговой доступности магазины, супермаркеты , ??поликлиники, ??учебные заведения, остановки общественного транспорта на все направления.   звоните прямо сейчас и приходите на посмотр ориентир зелёный базар волна;торг;332000
