Column1;city;time;announcment_num;floor;area;room_count;district;description;discount;price
3451;Душанбе;15.03.2022 14:39;7168131;1;58 м?;2;ПоворотАэропорт;2ком 1эт 4этажни понелни дом средний ремонт  с обстановкой поворот  Аэропорт;торг;490000
3452;Душанбе;15.03.2022 14:35;7712645;2;58 м?;3;Бустон;3 х комн.квартира, г .Чкаловск.;торг;350000
3453;Душанбе;15.03.2022 14:33;6415565;9;61 м?;2;Центр;2 ком 9эт  14этажни новостройни дом 61квм без отделки лифт вода постоянно с техпаспортом у дороги  на против чоихона рохат  Центр;торг;730000
3454;Душанбе;15.03.2022 14:31;7788400;1;48 м?;3;Фирдавси;Одноэтажный квартира барачного типа, заходи живи. 4.5 км от города. вода свет есть продаётся со всеми имуществом.;торг;175000
3455;Душанбе;15.03.2022 14:30;6890635;5;40 м?;1;101мкр;1ком 5эт 5этажни  понелни хороший ремонт у дороги чистично с обстановкой     101мкр;;365000
3456;Душанбе;15.03.2022 14:29;7303622;4;58 м?;2;92мкр;2ком 4эт 4этажни кирпични  дом хорошиий ремонт у дороги рядом чистичн   с обстановкой рядом кафе Суман  92мкр   большой гоборит;торг;566000
3457;Душанбе;15.03.2022 14:27;5639894;5;70 м?;2;82мкр;2ком  5эт  13этажни  новостройни дом  евроремонт  70квм с обстоновкой  за Т.Ц. Саодат 82мкр;;915000
3458;Душанбе;15.03.2022 14:27;7294963;4;58 м?;2;92мкр;2ком 4эт 4этажни  кирпични  дом  средниий ремонт  рядом школа 94..арентир  ресторан Арбат  92мкр;648000c;503000
3459;Душанбе;15.03.2022 14:26;7376963;3;58 м?;2;92мкр;2ком 3эт 4этажни кирпичнини дом хороший ремонт чистично с обстановкой у дороги  городской отопление 92мкр рядом кафе суман;605000c;550000
3460;Душанбе;15.03.2022 14:25;7641629;3;68 м?;2;Зарафшон;2ком 3эт 6этажни новостройни дом евроремонт у дороги чистично с обстановкой 68квм  с техпаспортом  Зарафшон;;540000
3461;Душанбе;15.03.2022 14:23;7805630;1;45 м?;1;Зарафшон;1ком 1эт 9этажни дом хороший ремонт чистично с обстановкой на против посол США  Зарафшон;торг;415000
3462;Худжанд;15.03.2022 14:23;7681199;10;55 м?;1;Шелкокомбинат,Бофанда;??? 11- этажный дом!;обмен,торг;221000
3463;Душанбе;15.03.2022 14:20;7797107;19;143 м?;3;ДомПечати;?? Срочно ?? Дёшево??;;624000
3464;Душанбе;15.03.2022 14:06;7340291;6;114 м?;2;ХитойБозор;позвоните по любым вопросам:;обмен,торг;452000
3465;Душанбе;15.03.2022 14:00;5946541;17;104 м?;3;ОриентирОлимпийскийКомитет;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 17 этаже;;586040
3466;Душанбе;15.03.2022 13:57;7122213;1;80 м?;4;61мкр;Срочно срочно срочно бо тамоми чизу чорааш фурухта мешавад бо тамири хуб чор хонагира ранги панч хонаги кардаги чош чои нагз  се то бозор наздашба ду то мактаб садик стоянкаи мошин мони хамаш хаст хамсояхои хуб отопления хаст 61 мкр пушти гарант доми панелный подъездо тозахак двор тозахак.  занг занед Вайбер Ватсапда суратоша мепартом. бо маслихат мекунем;;785000
3467;Душанбе;15.03.2022 13:48;7779989;1;55 м?;2;65микрорайон;Продаётся 2 комнатная квартира, с площадью 55 квадратных метров, с большим болконом и подвалом, на 1 этаже в 5 этажном панельном доме, в 65 микрорайоне.;торг;420000
3468;Душанбе;15.03.2022 13:46;7868395;4;70 м?;3;фирдавси;дом  расположен  9-этажный   союзный,   недалеко  от   рынок   саховат  и  автоцентр  в  середине..   возле  филиал,  агроинвестбанк.. ремонт   косметический  старый..подробн  по  телеф!;торг;546000
3469;Душанбе;15.03.2022 13:46;7697048;2;78 м?;2;92мкр,ресторанРайхон;Продаётся 2-х комнатная квартира в новостройке за рестораном Райхон. Квартира находиться на 2-ом этаже. Застройщик надежный. Сдача ключей от дома в апреле этого года. Вы можете после как получили ключи начать ремонт. Не упустите шанс купить по доступной цене квартиру. Или меняю на однокомнатную квартиру с ремонтов с доплатой с Вашей стороны, или же на 2-х комнатную или 3-х комнатную квартиру с ремонтов в центре с доплатой Вам;обмен,торг;440000
3470;Душанбе;15.03.2022 13:44;5271288;2;128 м?;4;Ориентир92микрорайон;Продаётся Элитная Квартира на 2-этаже (Без ремонта), в строящейся элитной 18 этажной новостройке,;обмен;1251200
3471;Душанбе;15.03.2022 13:41;7214981;3;131 м?;4;ИсмоилиСомони;хона хаштод фоиз ремонт шудаги алиш болои пулхам мешад.;обмен,торг;1150500
3472;Душанбе;15.03.2022 13:37;6161230;5;167 м?;5;ОриентирНалоговаяШохмансура;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 5-этаже,;;1286740
3473;Душанбе;15.03.2022 13:35;6161207;11;143 м?;3;ОриентирНалоговаяШохмансура;Продаётся Элитная Квартира в Элитном Жилом Комплексе на 11-этаже, ;;953810
